epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.2496,1.40384,5.98881,0.00417,0.00438,0.50087,0.17032,0.10517,0.63631,3.82933,0.00519,0.0002375,0.0002375,0.0002375
2,25.4798,0.83491,3.79422,0.00224,0.00524,0.58457,0.09551,0.03846,0.45563,3.81993,0.0033,0.000485891,0.000485891,0.000485891
3,31.8201,0.69311,2.71843,0.00182,0.00657,0.95065,0.50401,0.41074,0.60681,3.27447,0.0053,0.000732633,0.000732633,0.000732633
4,38.0901,0.6546,2.09154,0.0017,0.77271,0.96468,0.95616,0.80074,0.64222,2.62816,0.00444,0.000977724,0.000977724,0.000977724
5,44.1986,0.6247,1.67706,0.00159,1,0.34871,0.96958,0.87099,0.49028,1.70592,0.00342,0.00122116,0.00122116,0.00122116
6,50.2585,0.63929,1.51682,0.00164,0.96253,0.68581,0.9686,0.86311,0.50671,1.19813,0.00389,0.00122937,0.00122937,0.00122937
7,56.3029,0.58715,1.27911,0.0015,0.89377,0.71219,0.97781,0.89066,0.48009,0.71048,0.00352,0.00122525,0.00122525,0.00122525
8,62.3355,0.61328,1.12691,0.00156,0.93987,0.91786,0.9814,0.88546,0.48205,0.46691,0.00355,0.00122112,0.00122112,0.00122112
9,68.3596,0.6217,1.02675,0.00159,0.92124,0.94643,0.98509,0.91235,0.40291,0.3945,0.00266,0.001217,0.001217,0.001217
10,74.4067,0.53039,0.85592,0.00134,0.93109,0.94739,0.98308,0.90348,0.44619,0.3634,0.0033,0.00121287,0.00121287,0.00121287
11,80.4402,0.52397,0.77837,0.00136,0.96123,0.92948,0.98823,0.92321,0.41434,0.29672,0.00324,0.00120875,0.00120875,0.00120875
12,86.4827,0.51024,0.6898,0.00128,0.93137,0.98095,0.99033,0.9055,0.45582,0.30299,0.00282,0.00120462,0.00120462,0.00120462
13,92.5341,0.48677,0.61898,0.00125,0.94609,0.96042,0.99139,0.91771,0.39677,0.2858,0.00226,0.0012005,0.0012005,0.0012005
14,98.5808,0.50486,0.58448,0.0013,0.95715,0.97595,0.99262,0.92826,0.40389,0.24669,0.00289,0.00119637,0.00119637,0.00119637
15,104.656,0.45429,0.50871,0.00113,0.96476,0.93885,0.98926,0.94367,0.30441,0.25109,0.00194,0.00119225,0.00119225,0.00119225
16,110.709,0.46955,0.50861,0.00122,0.85442,0.97489,0.98921,0.94756,0.33776,0.23574,0.00217,0.00118812,0.00118812,0.00118812
17,116.774,0.45707,0.45852,0.00113,0.92467,0.9891,0.9916,0.96082,0.33009,0.22434,0.00209,0.001184,0.001184,0.001184
18,122.825,0.47695,0.45112,0.0012,0.9524,0.97459,0.99127,0.9281,0.36379,0.23218,0.00249,0.00117988,0.00117988,0.00117988
19,128.856,0.45106,0.417,0.00113,0.90872,0.98851,0.99213,0.93087,0.37444,0.25226,0.00298,0.00117575,0.00117575,0.00117575
20,134.888,0.44272,0.39736,0.00111,0.9281,0.99025,0.993,0.9145,0.43496,0.23959,0.00349,0.00117163,0.00117163,0.00117163
21,140.913,0.5021,0.40209,0.00126,0.8842,0.99286,0.99057,0.87733,0.55657,0.2548,0.0047,0.0011675,0.0011675,0.0011675
22,146.979,0.44904,0.37914,0.00111,0.95487,0.98543,0.99292,0.94002,0.35504,0.19732,0.00241,0.00116337,0.00116337,0.00116337
23,153.028,0.44801,0.35952,0.00111,0.97319,0.9647,0.98766,0.9569,0.31736,0.19885,0.00209,0.00115925,0.00115925,0.00115925
24,159.044,0.43108,0.35349,0.00107,0.98675,0.96877,0.99284,0.91796,0.4951,0.21541,0.00369,0.00115513,0.00115513,0.00115513
25,165.078,0.46068,0.34648,0.00116,0.9188,0.96996,0.98927,0.95985,0.33632,0.2113,0.00209,0.001151,0.001151,0.001151
26,171.135,0.43585,0.3089,0.0011,0.98572,0.98732,0.99383,0.9543,0.33996,0.17379,0.0021,0.00114688,0.00114688,0.00114688
27,177.182,0.41606,0.30763,0.00102,0.97695,0.95611,0.99209,0.94342,0.35849,0.19149,0.00226,0.00114275,0.00114275,0.00114275
28,183.198,0.43946,0.31183,0.00109,0.9893,0.97545,0.99372,0.95585,0.34335,0.18138,0.00238,0.00113863,0.00113863,0.00113863
29,189.227,0.40876,0.2882,0.00103,0.96739,0.98229,0.99401,0.94583,0.38017,0.17361,0.00275,0.0011345,0.0011345,0.0011345
30,195.239,0.41242,0.29445,0.00103,0.96463,0.9644,0.99387,0.9529,0.29845,0.15917,0.00199,0.00113038,0.00113038,0.00113038
31,201.289,0.40242,0.28376,0.001,0.98177,0.97075,0.99382,0.96658,0.31842,0.15684,0.00222,0.00112625,0.00112625,0.00112625
32,207.349,0.40999,0.28297,0.00103,0.9689,0.97999,0.9933,0.95106,0.32973,0.17342,0.00234,0.00112213,0.00112213,0.00112213
33,213.393,0.42284,0.27687,0.00106,0.98413,0.98266,0.99399,0.9351,0.36709,0.17306,0.00233,0.001118,0.001118,0.001118
34,219.424,0.41068,0.2631,0.00102,0.9318,0.98296,0.99172,0.94837,0.33774,0.18667,0.00214,0.00111388,0.00111388,0.00111388
35,225.475,0.41262,0.26038,0.00103,0.96334,0.98568,0.99172,0.94325,0.33348,0.19273,0.00236,0.00110975,0.00110975,0.00110975
36,231.51,0.39799,0.26192,0.00097,0.86304,1,0.96162,0.9098,0.3965,0.19058,0.00306,0.00110563,0.00110563,0.00110563
37,237.52,0.39304,0.25357,0.00098,0.9833,0.98891,0.99435,0.95319,0.34759,0.16813,0.00223,0.0011015,0.0011015,0.0011015
38,243.542,0.42024,0.25273,0.00108,0.96599,0.96707,0.99301,0.91574,0.43926,0.20756,0.00374,0.00109738,0.00109738,0.00109738
39,249.588,0.41138,0.25097,0.00102,0.97385,0.98918,0.99444,0.96267,0.34285,0.16595,0.00238,0.00109325,0.00109325,0.00109325
40,255.623,0.39601,0.24152,0.00098,0.94369,0.96667,0.9922,0.93149,0.34282,0.18228,0.00233,0.00108913,0.00108913,0.00108913
41,261.656,0.40255,0.24308,0.00101,0.99265,0.97015,0.99414,0.95671,0.35072,0.1631,0.00242,0.001085,0.001085,0.001085
42,267.701,0.39688,0.22946,0.00096,0.97767,0.9758,0.9937,0.93838,0.40183,0.17322,0.00264,0.00108088,0.00108088,0.00108088
43,273.732,0.39907,0.23,0.001,0.96756,0.97656,0.99355,0.96216,0.2907,0.17301,0.00175,0.00107675,0.00107675,0.00107675
44,279.764,0.38873,0.2306,0.00097,0.98429,0.95134,0.9927,0.91944,0.36985,0.20661,0.00222,0.00107263,0.00107263,0.00107263
45,285.814,0.39468,0.23628,0.00097,0.98059,0.96571,0.99269,0.95938,0.3039,0.18845,0.00192,0.0010685,0.0010685,0.0010685
